Sentence,Intent
Kafam karışık ve tedirgin sevgili dostum  🙏,anxiety
Nasılsınız sevgili dostum!,greeting
Bu bana göre değil!!,rejection
"Nasılsınız, sizi görmek ne güzel.",greeting
Tekrar görüşmek dileğiyle sevgili dostum.,farewell
İnanıyorum 🙏,motivation
Keşke bir arkadaşım olsaydı sevgili dostum  lütfen,loneliness
Hoşça kal.,farewell
Nasılsınız 🙂,greeting
Sadece biri beni dinlese yeter!!  sevgili dostum,loneliness
Yalnızlık zor geliyor!! .,loneliness
Yalnızlık zor geliyor...  :),loneliness
Minnettarım lütfen,gratitude
Yardımın için minnettarım :)  🙂,gratitude
Sağ ol lütfen,gratitude
Kalabalıkta bile yapayalnızım 🙏 !!,loneliness
İçimde büyük bir boşluk var 🙏 .,loneliness
Bugün başlamak için güzel bir gün...,motivation
"Selam, nasılsın?",greeting
Reddetmek zorundayım :),rejection
İstemiyorum :),rejection
İstemiyorum 🙏,rejection
Kendimi güçlü hissediyorum!,motivation
Kaygılıyım sevgili dostum,anxiety
Hiç kimsem yok gibi geliyor.  sevgili dostum,loneliness
Kendime güveniyorum!!,motivation
"Yarın görüşürüz, bay bay.",farewell
Kalbim hızlı çarpıyor sevgili dostum  :),anxiety
Kötü bir şey olacak diye hissediyorum.,anxiety
İyi geceler. Allah'a emanet.,farewell
Kendine iyi bak.,farewell
Yarın görüşürüz. Allah'a emanet.,farewell
Bugün başlamak için güzel bir gün 🙂,motivation
Bunu yapamam sevgili dostum,rejection
Huzursuzum!!,anxiety
"İyi akşamlar, sizi görmek ne güzel.",greeting
Kendimi güçlü hissediyorum,motivation
Merhaba efendim!,greeting
İyi ki varsın sevgili dostum,gratitude
Merhaba 🙂,greeting
Merhaba dostum 🙂,greeting
"İyi geceler, kendine çok iyi bak. ...",farewell
Sesimi duyan yok :),loneliness
Güle güle! Sağlıcakla kal.,farewell
Görüşmek üzere sevgili dostum.,farewell
Kendine iyi bak. Allah'a emanet.,farewell
Kafam çok dolu sevgili dostum,stress
Tekrar görüşmek dileğiyle! Sağlıcakla kal.,farewell
Kendine iyi bak sevgili dostum.,farewell
Yardımın için minnettarım  :),gratitude
Çok teşekkür ederim 🙏,gratitude
Kalabalıkta bile yapayalnızım,loneliness
Şimdilik hoşça kal. Görüşürüz.,farewell
Hoş geldiniz. Keyifler nasıl?,greeting
Çok teşekkür ederim 🙂,gratitude
Ne olacağını bilmiyorum sevgili dostum,anxiety
Desteğin için teşekkürler sevgili dostum,gratitude
Zamanla yarışıyorum lütfen,stress
İçim daralıyor :)  🙂,anxiety
Merhaba nasılsın! Nasılsınız?,greeting
Merhaba nasılsın!,greeting
Sağ ol.,gratitude
Allah razı olsun sevgili dostum,gratitude
"Güle güle, bay bay. !!",farewell
Endişe içindeyim...,anxiety
Teşekkür ederim.  :),gratitude
İnanıyorum 🙏 !,motivation
Hoşçakalın. Görüşürüz. !,farewell
Ne olacağını bilmiyorum,anxiety
Her şey üstüme üstüme geliyor 🙏 ...,stress
İyi ki varsın...,gratitude
Merhaba nasılsın! Umarım iyisiniz.,greeting
Kalbim hızlı çarpıyor 🙂  🙏,anxiety
"Hayır, teşekkürler :) ...",rejection
Bunu yapamam,rejection
Her şey üstüme üstüme geliyor 🙏,stress
Hey 🙂,greeting
"Merhaba dostum, sizi görmek ne güzel. ...",greeting
Birazdan patlayacağım  sevgili dostum,stress
Pes etmeyeceğim,motivation
Her geçen gün daha iyiyim 🙏,motivation
Sürekli felaket senaryoları düşünüyorum lütfen,anxiety
Kafam karışık ve tedirgin lütfen  :),anxiety
İçim daralıyor 🙏,anxiety
Çok gerginim!  sevgili dostum,stress
"İyi geceler, bay bay.",farewell
"Günaydın, sizi görmek ne güzel.",greeting
Sürekli felaket senaryoları düşünüyorum!!,anxiety
Bu tempo beni öldürüyor 🙏,stress
"Günaydın, nasılsın?",greeting
Kalabalıkta bile yapayalnızım sevgili dostum,loneliness
Şimdilik hoşça kal! Sağlıcakla kal.,farewell
Stres seviyesi tavan yaptı 🙂  🙂,stress
Zamanla yarışıyorum :),stress
Yılmadan devam ediyorum.,motivation
Bu iyiliğini unutmayacağım lütfen  🙂,gratitude
Merhaba! Nasılsınız?,greeting
Derin nefes almaya çalışıyorum!!,stress
"Merhaba dostum, nasılsın? ...",greeting
Yalnızlık içimi kemiriyor...,loneliness
Endişe içindeyim... !!,anxiety
Bu tempo beni öldürüyor...,stress
Stres seviyesi tavan yaptı!,stress
Çok teşekkür ederim sevgili dostum !!,gratitude
Maalesef uygun değil :),rejection
"Görüşmek üzere, bay bay.  🙏",farewell
Üzerimde büyük bir baskı var 🙂  :),stress
Keşke bir arkadaşım olsaydı 🙏,loneliness
Selam! Umarım iyisiniz.,greeting
İnanıyorum.,motivation
